registry_club_id,organism,affiliation_code,sport_year_start,sport_year_end
coni:105982,FIGC|UISP,954921,01/07/2025,30/06/2026
coni:105988,FIGC,913713,01/07/2025,30/06/2026
coni:106067,CSI|FIGC,934383,01/07/2025,30/06/2026
coni:106087,FIGC,941973,01/07/2025,30/06/2026
coni:106088,CSI|FIGC,02200385,07/07/2025,30/06/2026
coni:106299,AICS|FIGC,931889,01/07/2025,30/06/2026
coni:10636,ENDAS|FIGC|FIP,936343,01/07/2025,30/06/2026
coni:106412,FIGC,943488,01/07/2025,30/06/2026
coni:106427,CSI|FIGC,943031,01/07/2025,30/06/2026
coni:106481,FIGC,204489,01/07/2025,30/06/2026
coni:106494,CSI|FIGC,02200458,10/07/2025,30/06/2026
coni:10654,FIGC,76341,01/07/2025,30/06/2026
coni:106597,FIGC,916900,01/07/2025,30/06/2026
coni:106599,AICS|CSEN|FIGC,963492,01/07/2025,30/06/2026
coni:106600,FIGC,945559,01/07/2025,30/06/2026
coni:106605,FIGC,938961,01/07/2025,30/06/2026
coni:106614,CSI|FIGC,930680,01/07/2025,30/06/2026
coni:10668,CSI|FIGC,02400263,12/07/2025,30/06/2026
coni:106699,FIGC,932800,01/07/2025,30/06/2026
coni:1067,FIGC,65645,01/07/2025,30/06/2026
coni:106776,AICS|CSEN|FIGC|UISP,P040302,09/09/2025,31/08/2026
coni:106789,FIGC,963025,01/07/2025,30/06/2026
coni:106945,FIGC|OPES,932740,01/07/2025,30/06/2026
coni:106951,FIGC,934926,01/07/2025,30/06/2026
coni:107012,FIGC,944282,01/07/2025,30/06/2026
coni:107017,CSEN|FIGC,943555,01/07/2025,30/06/2026
coni:107043,FIGC,918913,01/07/2025,30/06/2026
coni:107049,CSEN|FIGC,938763,01/07/2025,30/06/2026
coni:107064,FIGC,939169,01/07/2025,30/06/2026
coni:10711,ASC|FIGC,61575,01/07/2025,30/06/2026
coni:107120,FIGC,933516,01/07/2025,30/06/2026
coni:107158,FIGC,930574,01/07/2025,30/06/2026
coni:107162,FIGC,937768,01/07/2025,30/06/2026
coni:107172,FIGC,938266,01/07/2025,30/06/2026
coni:107175,FIGC,964930,14/10/2025,30/06/2026
coni:107253,FIGC,934657,01/07/2025,30/06/2026
coni:107265,CSEN|FIGC,948181,01/07/2025,30/06/2026
coni:107280,FIGC,935329,01/07/2025,30/06/2026
coni:10729,FIGC|PGS,65244,01/07/2025,30/06/2026
coni:107400,FIGC,919722,01/07/2025,30/06/2026
coni:107413,FIGC,940915,01/07/2025,30/06/2026
coni:107455,ASC|FIGC,943799,01/07/2025,30/06/2026
coni:10753,CSI|FIGC,69807,01/07/2025,30/06/2026
