registry_club_id,id_societa,club_name,discipline_raw,clubandplayer_sport
coni:37284,37284,POLISPORTIVA CELADINA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Calcio (a 11),Calcio
coni:37284,37284,POLISPORTIVA CELADINA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Futsal (calcio da sala - calcio a 5),Futsal
coni:37356,37356,UNIONE SPORTIVA DILETTANTISTICA U.S. MONFERRATO,Calcio (a 11),Calcio
coni:37374,37374,ASSOCIAZIONE DILETTANTISTICA CALCIO MARIO RIGAMONTI,Calcio (a 11),Calcio
coni:374,374,ASD VIRTUS VILLAURBANA,Calcio (a 11),Calcio
coni:37434,37434,A.C. MILANESE CORVETTO 1920 ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Calcio (a 11),Calcio
coni:3744,3744,UNIONE SPORTIVA OLIMPIA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Calcio (a 11),Calcio
coni:3744,3744,UNIONE SPORTIVA OLIMPIA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Futsal (calcio da sala - calcio a 5),Futsal
coni:3744,3744,UNIONE SPORTIVA OLIMPIA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Pallavolo,Volley
coni:37462,37462,ASSOC.SPORTIVA DILETT.CENTRO UNIV.SPORTIVO TORINO,Pallacanestro,Basket
coni:37462,37462,ASSOC.SPORTIVA DILETT.CENTRO UNIV.SPORTIVO TORINO,Futsal (calcio da sala - calcio a 5),Futsal
coni:37462,37462,ASSOC.SPORTIVA DILETT.CENTRO UNIV.SPORTIVO TORINO,Pallavolo,Volley
coni:37462,37462,ASSOC.SPORTIVA DILETT.CENTRO UNIV.SPORTIVO TORINO,Beach volley,Volley
coni:37462,37462,ASSOC.SPORTIVA DILETT.CENTRO UNIV.SPORTIVO TORINO,Rugby a 15,Rugby
coni:37462,37462,ASSOC.SPORTIVA DILETT.CENTRO UNIV.SPORTIVO TORINO,Pallacanestro 3 contro 3,Basket
coni:37462,37462,ASSOC.SPORTIVA DILETT.CENTRO UNIV.SPORTIVO TORINO,Rugby a 7,Rugby
coni:37462,37462,ASSOC.SPORTIVA DILETT.CENTRO UNIV.SPORTIVO TORINO,Beach Rugby,Rugby
coni:37485,37485,A.S.D. BENTIVOGLIO CALCIO,Calcio (a 11),Calcio
coni:375,375,SP SOCIETA' POLISPORTIVA POZZONOVO,Calcio (a 11),Calcio
coni:37521,37521,A.S.D. POL.RENO S.ALBERTO,Calcio (a 11),Calcio
coni:37552,37552,POLISPORTIVA FIRENZE OVEST,Calcio (a 11),Calcio
coni:37554,37554,GRUPPO SPORTIVO S.GODENZO ASD,Calcio (a 11),Calcio
coni:37556,37556,UNIONE SPORTIVA SETTIGNANESE,Calcio (a 11),Calcio
coni:37557,37557,UNIONE SPORTIVA CERBAIA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Calcio (a 11),Calcio
coni:37557,37557,UNIONE SPORTIVA CERBAIA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,Futsal (calcio da sala - calcio a 5),Futsal
coni:37558,37558,ASSOCIAZIONE SPORTIVA DILETTANTISTICA POLISPORTIVA STELLA ROSSA CASALBORSETTI,Calcio (a 11),Calcio
coni:37558,37558,ASSOCIAZIONE SPORTIVA DILETTANTISTICA POLISPORTIVA STELLA ROSSA CASALBORSETTI,Pallacanestro,Basket
coni:37568,37568,ASSOCIAZIONE SPORTIVA DILETT. FOSSO GHIAIA ASD,Calcio (a 11),Calcio
coni:37576,37576,SOCIETA' SPORTIVA FRANCO SCARIONI 1925 SOCIETA' SPORTIVA DIL,Calcio (a 11),Calcio
coni:3758,3758,POLISPORTIVA A.R.S.(ASSOCIAZIONE ROVAGNATE SPORT) ASSOCIAZIO,Calcio (a 11),Calcio
coni:3758,3758,POLISPORTIVA A.R.S.(ASSOCIAZIONE ROVAGNATE SPORT) ASSOCIAZIO,Calcio (a 7),Calcio
coni:3758,3758,POLISPORTIVA A.R.S.(ASSOCIAZIONE ROVAGNATE SPORT) ASSOCIAZIO,Pallacanestro,Basket
coni:37580,37580,ASSOCOCIAZIONE SPORTIVA DILETTANTISTICA CENTRO GIOVANILE CARDINAL SCHUSTER,Calcio (a 11),Calcio
coni:37580,37580,ASSOCOCIAZIONE SPORTIVA DILETTANTISTICA CENTRO GIOVANILE CARDINAL SCHUSTER,Calcio (a 7),Calcio
coni:37580,37580,ASSOCOCIAZIONE SPORTIVA DILETTANTISTICA CENTRO GIOVANILE CARDINAL SCHUSTER,Pallacanestro,Basket
coni:37580,37580,ASSOCOCIAZIONE SPORTIVA DILETTANTISTICA CENTRO GIOVANILE CARDINAL SCHUSTER,Pallavolo,Volley
coni:37588,37588,SOCIETA' GINNASTICA MILANESE FORZA E CORAGGIO A.S.D.,Calcio (a 11),Calcio
coni:37588,37588,SOCIETA' GINNASTICA MILANESE FORZA E CORAGGIO A.S.D.,Pallavolo,Volley
coni:37588,37588,SOCIETA' GINNASTICA MILANESE FORZA E CORAGGIO A.S.D.,Beach volley,Volley
